Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,1044.946,1116.84,973.225,1162.158,1155.81,1461.964,INF
11,539.359,566.688,611.491,569.783,591.363,551.899,INF
13,547.33,577.164,554.814,498.029,508.863,505.694,INF
16,424.769,467.692,477.886,416.189,412.889,394.686,INF
19,520.252,770.966,514.24,638.284,772.303,716.558,INF
Mar21,56,64,128,256,512,1024,2048
0,429.606,404.109,403.451,397.644,401.319,429.326,INF
9,1251.689,1145.708,724.281,1039.801,617.311,618.616,INF
11,786.57,1262.111,941.658,926.731,1677.888,1102.38,INF
13,1213.004,2001.231,633.739,973.175,1278.35,2032.379,INF
15,INF,INF,INF,INF,INF,INF,INF
18,INF,INF,INF,INF,INF,INF,INF
19,521.474,524.384,595.943,548.559,841.56,486.562,INF
Mar22,56,64,128,256,512,1024,2048
0,478.116,509.094,552.023,460.212,489.99,502.872,INF
9,610.696,543.411,575.24,600.737,583.453,568.404,INF
11,1177.957,1395.62,989.604,1059.588,960.345,1821.604,INF
13,646.329,1168.056,1003.953,759.328,722.794,1216.614,INF
18,1300.767,776.231,922.704,667.48,606.121,599.116,INF
20,949.457,839.188,697.941,579.88,689.869,1089.273,INF
Mar23,56,64,128,256,512,1024,2048
0,655.963,732.523,807.138,978.218,816.688,581.004,INF
Mar24,56,64,128,256,512,1024,2048
